name,price,colors,description,features,image link,link
Georgia Golden Peach Blush,$30.00,N;A,"NEW SHADE, NEW FORMULA, NEW PACKAGING! Benefit’s cult-favorite golden peach blush is back and sweeter than ever! The NEW Georgia is a warm, vibrant peach shade with a soft, golden shimmer for a fresh-picked flush. Peachy cheeks are always in season! NEW! golden peach blush Silky-smooth & superfine with a creamy, blendable formula Fresh peach-floral scent Includes mirror & soft, natural-bristle brush","-	NEW! shade, formula, & packaging
-	Cult-favorite golden peach blush
-	Fresh peach-floral scent
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/blush/georgia-golden-peach-blush/georgia-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/georgia-golden-peach-blush?product=GEORGIA-FULL
Sugarbomb Rosy Pink Blush,$30.00,N;A,Sweep on a confection complexion! Swirl & sweep onto cheeks for a sweet rosy pink flush. BEAUTY TIP An extra sprinkle of sweet! Swirl Sugarbomb and Georgia together for a custom peachy pink blush.,"-	NEW! rosy pink shade
-	Instant radiant flush
-	Available in full-size & mini
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/blush/sugarbomb/sugarbomb_component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/sugarbomb-rosy-pink-blush2?product=SUGAR-FULL
GALifornia Powder Blush,$30.00,N;A,"GALifornia golden pink blush is part sun, pure fun! It blends bright pink with shimmering gold, capturing the warm glow of California sunshine in a box. The signature Galifornia Dreamin’ scent features notes of pink grapefruit & vanilla. Comes complete with a custom rounded blush brush for soft, diffused application. Comes in full size & mini Golden pink powder blush Artwork inspired by vintage California surfer girls Includes rounded blush brush and mirror","-	Bright pink with shimmering gold
-	Notes of pink grapefruit & vanilla
-	Custom rounded brush
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/blush/galifornia-powder-blush/galifornia-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/galifornia-powder-blush?product=GALIFFM44-FULL
Hello Happy Velvet Powder Foundation,$30.00,1 - Fair cool;2 - Light neutral;3 - Light neutral warm;4 - Medium neutral;5 - Medium neutral warm;6 - Medium warm;7 - Medium-tan neutral;8 - Tan warm;9 - Deep neutral;10 - Deep warm;11 - Dark neutral;12 - Dark warm,"Choose your coverage with this buildable, velvety-smooth powder foundation. Lightweight & breathable, it mattifies all day yet feels creamy-soft with shea-butter extracts known to create a luxuriously smooth feel. Mirrored compact includes TWO custom applicators…a brush and a sponge! 96% said it minimizes shine* 93% said it's easy to build coverage* 12-hour longwear** Natural-matte finish *self-evaluation by 107 women after 1 week**instrumental test on 20 women","-	Lightweight & breathable
-	Natural-matte finish
-	Includes two custom applicators
","https://www.benefitcosmetics.com/globalassets/pdps/face/foundation/hello-happy-velvet-powder-foundation/hello-happy-velvet-powder-foundation-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/hello-happy-velvet-powder-foundation
Smooth It Off! Cleansing Exfoliator,$22.00,N;A,"Reveal a smooth, clean & brighter complexion with this 2-in-1 facial cleanser & exfoliator! This gentle cleanser clears pores, cleanses makeup and removes dead skin cells. The creamy non-drying formula contains jojoba beads and rinses away without any residue. It’s tough on dirt, gentle on skin! Gentle facial cleanser & exfoliator Creamy non-drying formula Contains jojoba beads Removes makeup, dead skin cells & clears pores","-	Clean & brighter complexion
-	Creamy, non-drying formula
-	Contains jojoba beads
","https://www.benefitcosmetics.com/globalassets/pdps/face/skin-care/smooth-it-off-cleansing-exfoliator/smooth-it-off-exfoliator-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/smooth-it-off-cleansing-exfoliator
It's Potent! Dark Circle Eye Cream,$34.00,N;A,"Your eyes can't keep a secret...they're the first to show signs of age & stress. It's Potent! Eye Cream fades dark circles & helps smooth fine lines for brighter, younger-looking eyes. Contains a peptide complex known to help restore elasticity & firmness, a blend of hydrating botanical extracts and loquat extract, known to help protect the skin from free radical damage. Moisturizing Pairs perfectly with concealer Great for daily use","-	Fades dark circles
-	Smooth fine lines
-	Restore elasticity & firmness
","https://www.benefitcosmetics.com/globalassets/pdps/face/skin-care/its-potent-dark-circle-eye-cream/its-potent-eye-cream-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/its-potent-dark-circle-eye-cream
Weightless Moisture Face Moisturizer,$38.00,N;A,"This ultra-light facial moisturizer smooths on the daily hydration & sun protection your skin needs! Weightless Moisture Face Moisturizer contains a hydrating complex, which helps skin retain moisture PLUS it's enhanced with watermelon fruit extract, to help lock on moisture for 24 hours*. This daily moisturizer also protects skin with SPF 15 PA++, absorbs quickly and leaves an invisible, silky-smooth finish. Aaahhh. SPF 15 PA++ Feels ultra-lightweight Skin feels moisturized all day Absorbs quickly Silky-smooth finish *instrumental test on 11 women","-	Silky-smooth finish
-	Ultra-lightweight
-	Absorbs quickly
","https://www.benefitcosmetics.com/globalassets/pdps/face/skin-care/weightless-moisturizer/weightless-moisture-face-moisturizer-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/weightless-moisture-face-moisturizer
They're Real! Remover,$18.00,N;A,"Specially formulated to remove our bestselling They're real! mascara & They're real! push-up liner, this remover is gentle-yet-powerful. It completely lifts away waterproof eye makeup without tugging the delicate eye area. Skin feels soft, smooth and clean beyond belief! Creamy gel formula Lifts longwearing mascara & eyeliner Suitable for sensitive eyes & contact lens wearers","-	Lifts away waterproof eye makeup
-	Creamy gel formula
-	Suitable for sensitive eyes & contact lens wearers
","https://www.benefitcosmetics.com/globalassets/pdps/face/skin-care/theyre-real-remover/theyre-real-remover-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/theyre-real-remover
Total Moisture Facial Cream,$42.00,N;A,"This facial cream provides concentrated hydration for a radiantly refreshed complexion. Our exclusive tri-radiance complex helps develop the skin's water reserves and reinforces the moisture barrier. Contains mango butter, a natural plant-based emollient known to provide moisture. Immediate moisture Long-lasting For normal to dry skin 100% said skin was intensely quenched* *Results observed in a consumer panel survey","-	Radiantly refreshed complexion
-	Concentrated hydration
-	For normal to dry skin
","https://www.benefitcosmetics.com/globalassets/pdps/face/skin-care/total-moisture-facial-cream/total-moisture-facial-cream-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/total-moisture-facial-cream
Hoola Bronzing & Contouring Brush,$24.00,N;A,Brush on a seamless bronze or create sexy contours with this Hoola Bronzing & Contouring Brush. The ultra-plush bristles seamlessly sweep on your favorite powder bronzer or blush. PLUS the special dome shape easily sculpts & contours your face. Seamless bronzing & contouring Special dome shape Ultra-plush bristles,"-	Easily sculpts & contours
-	Special dome shape
-	Ultra-plush bristles
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/accessories/hoola-bronzing-and-contouring-brush/hoola-brush-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/hoola-bronzing-contouring-brush
Brow Grooming Tweezer & Brush,$20.00,N;A,Keep strays away with our double-duty brow tool. The slanted tweezers are coated with diamond dust to firmly grasp & pluck even the finest hairs. Use the custom-blended bristle brush to (1) brush brows upward to see where you need to tweeze (2) expertly groom brows into place. Taming & grooming brow tool Expert eyebrow shaping Day-to-day brow maintenance,"-	Double-duty brow tool
-	Expert eyebrow shaping
-	Taming & grooming brow tool
","https://www.benefitcosmetics.com/globalassets/pdps/brows/brow-tools--kits/brow-grooming-tweezer--brush/brow-grooming-tweezers-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/brow-grooming-tweezer-brush
All-Purpose Pencil Sharpener,$5.00,N;A,Keep pencils on point with this universal sharpener! It adjusts to fit 3 pencil sizes from standard to jumbo and sharpens brow & eye pencils to a perfect tip for precise application. Removable size-adjuster Eye-catching pink Includes blade-cleaning tool,"-	Removable size-adjuster
-	Includes blade-cleaning tool
","https://www.benefitcosmetics.com/globalassets/pdps/brows/brow-tools--kits/all-purpose-pencil-sharpener/all-purpose-pencil-sharpener-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/all-purpose-pencil-sharpener
Dual-ended Angled Eyebrow Brush,$18.00,N;A,"POWmade dip *hair flip*  Brush brow hairs into place with spoolie, then dip angled brush into POWmade Brow Pomade or other brow powder or wax. Wipe brush tip to remove any excess. Grip the brush close to bristles and stroke onto brows in short, light, upward motions. Blend with spoolie.","-	Firm, thin angled brush defines brows with precision
-	Custom spoolie-brush blends seamlessly
-	Pairs perfectly with POWmade Brow Pomade
","https://www.benefitcosmetics.com/globalassets/pdps/brows/brow-tools--kits/dual-ended-angled-eyebrow-brush/dual-ended-angled-eyebrow-brush-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/dual-ended-angled-eyebrow-brush
Pore MINImizer Squad,$25.00,N;A,"So Smooth & All Set! Want a lightweight primer that feels weightless & breathable? Smooth on The POREfessional: Lite Primer. Need a boost of hydration? Smooth on The POREfessional Hydrate Primer. After applying makeup, shake The POREfessional: Super Setter and hold 8” from face, misting evenly all over. Warning: Keep out of eyes. Close eyes before misting. Beauty Tip Wear The POREfessional: Lite Primer alone for pore-blurring that won’t weigh you down!","-	Minimize the look of pores, hydrate skin & set makeup with this mini pore trio
-	Features NEW! The POREfessional: Lite Primer ultra-lightweight, water-based pore primer
-	Comes in ultra-portable, mini sizes to try out new POREfessional faves
","https://www.benefitcosmetics.com/globalassets/pdps/sets--kits/pore-minimizer-squad/pore-minimizer-squad-component-kit1.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/pore-minimizer-squad
Hoola Matte Bronzer Travel Size Mini,$17.00,N;A,"All 4 shades of Benefit’s award-winning bronzer feature the same soft, blendable formula and matte finish that made the original Hoola a cult-fave. The entire Hoola bronzer collection ranges from light to deep so you can sweep on a natural-looking bronze. Comes complete with a built-in mirror and powder brush for a sunless & seamless application. Hoola Lite: light powder bronzer for face Hoola: Original matte powder bronzer for face NEW! Hoola Caramel: medium–deep powder bronzer for face NEW! Hoola Toasted: deep powder bronzer for face","-	Hoola Lite: fair bronzer
-	Hoola: original bronzer + comes in mini & value size
-	Hoola Caramel: medium-deep bronzer
-	Hoola Toasted: deep bronzer
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/bronzer/hoola-matte-bronzer/hoola-bronzer-mini-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/hoola-matte-bronzer?product=HOOLAFM32
They're Real! Magnet Extreme Lengthening Mascara Travel Size Mini,$15.00,N;A,"EXTREME Lengthening Mascara with a MAGNETIC FORCE!They’re Real! Magnet is a 36-hour lengthening* mascara with a magnetic force that draws out lashes to EXTREME LENGTHS, making them look 40% longer**. The innovative Extender Brush with magnetically charged core pulls the Magnetic Mineral Enriched Formula up & OUT BEYOND the tips of lashes for extreme length & powerful lift. Custom-designed ZigZag bristles are strategically positioned to fan out, separate & define lashes.  93% said it was extremely lengthening*** 95% said it lifts & lengthens lashes up & out*** 93% said it gives lashes fullness AND length*** *Instrumental test on 21 women**Than bare lashes. Instrumental test on 21 women ***Self-evaluation by 110 women after 1 week","-	36-hour lengthening* mascara with a MAGNETIC FORCE
-	Flexible, lightweight & builds easily
-	Draws out lashes to EXTREME LENGTHS, making them look 40% longer**
","https://www.benefitcosmetics.com/globalassets/pdps/eyes/mascara/theyre-real-magnet/theyre-real-magnet-component-mini.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/theyre-real-magnet-extreme-lengthening-mascara?product=TARMAGEM65-MINI
Roller Liner Matte Liquid Eyeliner Travel Size Mini,$12.00,Black;Brown,"Glide on a natural-looking, fine line with Roller Liner! Our matte liquid eyeliner features a precision felt tip for sharp controlled lines and a super-smooth application that won’t drag. The quick-dry, waterproof* formula lasts 24-hours**. It doesn’t fade, flake or smudge, so you can let the good times roll all day & night! * Instrumental test on 21 women**Instrumental test on 20 women 94% said it creates a smooth continuous line*** 93% said it doesn’t tug or drag on skin*** 91% said it stays put*** ***Self-evaluation by 101 women after 1 week","-	Matte liquid eyeliner
-	Smooth application
-	Waterproof* formula lasts 24 hours
","https://www.benefitcosmetics.com/globalassets/pdps/eyes/eyeliner/roller-liner-liquid-eyeliner/roller-liner-mini-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/roller-liner-matte-liquid-eyeliner?product=ROLLEREM46
Dallas Rosy Bronze Blush Travel Size Mini,$17.00,N;A,"Say ‘Howdy’ to a NEW Dallas! Giddy-up, gorgeous! Benefit’s fan fave Dallas blush has gotten a rosy makeover! The NEW Dallas features a slightly pinker shade with a soft shimmer that’s perfect for cheeks. Available in fullsize & a travel-size mini to pop in your purse, kick up your heels and get glowing. DETAILS: NEW! rosy bronze shade Hint of shimmer Available in full-size & mini Includes mirror & soft, natural-bristle brush","-	NEW! rosy bronze shade
-	Hint of shimmer
-	Available in full-size & mini
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/blush/dallas-travel-size-mini/dallas-mini-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/dallas-dusty-rose-face-powder?product=DALLFM235
The POREfessional: Hydrate Primer Travel Size Mini,$13.00,N;A,"Defeat pores AND dryness! This silky-smooth, hydrating face primer instantly moisturizes & refreshes skin, helps makeup stay put and minimizes the look of pores and fine lines. It has the same lightweight feel & pore-minimizing power as the original The POREfessional PLUS 12-hour* hydration. Pores and dryness don’t stand a chance! Natural finish Contains Hyaluronic Acid to attract moisture & help maintain hydration and Shea Butter known to smooth & moisturize** 98% said it minimized pore appearance*** 98% said skin looked hydrated & healthy*** 100% said it helped makeup glide on smoothly*** *instrumental test on 11 women**in vitro tests on ingredients***self-evaluation by 105 women after 1 week","-	Moisturizes & refreshes skin
-	Natural finish
-	Minimizes the look of pores and fine lines
","https://www.benefitcosmetics.com/globalassets/pdps/face/primer/the-porefessional-hydrate-primer/carousel-images/the-porefessional-hydrate-primer-mini-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/the-porefessional-hydrate-primer?product=POREHFM99-MINI
Gold Rush Blush Travel Size Mini,$17.00,N;A,"This golden-nectar blush gives any look a natural-looking warm glow! Embossed with a stunning “golden nugget” overspray, the specialized formula gradually lifts away to reveal a rich, nectar shade infused with delicate, golden flecks throughout the powder. The soft, blendable formula also features a signature scent with notes of citrus, vanilla & sandalwood. Powder blush with a soft, subtle sheen Includes rounded brush & built-in mirror Flatters all skintones Comes in full size & mini","-	Soft, blendable powder formula
-	Natural-looking warm glow
-	Available in full size & mini
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/blush/gold-rush-powder-blush/gold-rush-mini-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/gold-rush-blush?product=GOLDRFM87
The POREfessional: Matte Rescue Gel Travel Size Mini,$13.00,N;A,"The POREfessional: Matte Rescue Gel instantly minimizes pore appearance. The lightweight, water-based gel overpowers shine and absorbs excess surface oil, leaving a natural-looking matte finish. Skin feels smooth and refreshed. Contains diamond powder known for its soft-focus pore-blurring effect. Comes in full size & mini 92% said it mattifies shine instantly* 92% said skin feels clean, refreshed* 89% said it absorbs excess surface oil instantly* *Consumer panel survey of 66 women over 1 week","-	Minimizes pore appearance
-	Lightweight, water-based gel
-	Absorbs excess surface oil
","https://www.benefitcosmetics.com/globalassets/pdps/face/primer/the-porefessional-matte-rescue-gel/the-porefessional-matte-rescue-mini-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/the-porefessional-matte-rescue-gel?product=POREFFM30-MINI
BROWVO! Conditioning Eyebrow Primer Travel Size Mini,$14.00,N;A,"It's a brow RE-appearing act with this nutrient-rich eyebrow primer! Worn alone BROWVO! conditions & smooths brows. Worn as a primer it enhances extends the wear of other brow products. This conditioning formula contains keratin soy proteins known to help brows look THICKER, HEALTHIER & FULLER. Signature Tips & Tricks included! Comes in full size & mini All-in-one eyebrow serum Clear gel suits all brows Custom soft-touch applicator","-	Conditions & smooths brows
-	Contains keratin & soy proteins
-	Can be worn alone or as primer
","https://www.benefitcosmetics.com/globalassets/pdps/brows/brow-gel/browvo-conditioning-eyebrow-primer/browvo-conditioning-primer-mini-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/browvo-conditioning-eyebrow-primer?product=BROWVBM43-MINI
Dandelion Brightening Face Powder Travel Size Mini,$17.00,N;A,"This sheer, ballerina-pink face powder takes your complexion from dull to radiant. Sweep it on cheeks as a soft blush or dust it all over face as a brightening finishing powder. Comes in full size & mini Hint of shimmer Buildable color Soft, natural-bristle brush included","-	Ballerina-pink brightening powder
-	Buildable color
-	Hint of shimmer
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/blush/dandelion-brightening-finishing-powder/dandelion-powder-mini-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/dandelion-brightening-finishing-powder?product=DANDEFM33
Georgia Golden Peach Blush Mini,$17.00,N;A,"NEW SHADE, NEW FORMULA, NEW PACKAGING! Benefit’s cult-favorite golden peach blush is back and sweeter than ever! The NEW Georgia is a warm, vibrant peach shade with a soft, golden shimmer for a fresh-picked flush. Peachy cheeks are always in season! NEW! golden peach blush Silky-smooth & superfine with a creamy, blendable formula Fresh peach-floral scent Includes mirror & soft, natural-bristle brush","-	NEW! shade, formula, & packaging
-	Cult-favorite golden peach blush
-	Fresh peach-floral scent
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/blush/georgia-golden-peach-blush/georgia-mini-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/georgia-golden-peach-blush?product=GEORFM233
Goof Proof Eyebrow Pencil Travel Size Mini,$14.00,1 - Cool light blonde;2 - Warm golden blonde;3 - Warm light brown;3.5 - Neutral medium brown;4 - Warm deep brown;4.5 - Neutral deep brown;5 - Warm black-brown;6 - Cool soft black,"Presto…everyone’s an expert with this super easy filling & shaping eyebrow pencil. It features a custom, non-sharpen “goof-proof” tip, soft color and a glide-on formula for easy & fast brow filling. Comes complete with built-in blending spoolie-brush and signature Tips & Tricks! Comes in full size & mini 12-hour* waterproof** formula 95% said it was easy to fill & shape brows*** 94% said it gives beautiful brows on the first try*** *instrumental test on 20 panelists**Instrumental test on 22 panelists***consumer panel survey of 109 women after 1 week","-	Custom “goof-proof” tip
-	Easy & fast glide-on formula
-	Built-in spoolie-brush
","https://www.benefitcosmetics.com/globalassets/pdps/brows/brow-pencil/goof-proof-eyebrow-pencil/goof-proof-pencil-mini-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/goof-proof-eyebrow-pencil?product=GOOFPBM58
24-Hour Brow Setter Clear Brow Gel Travel Size Mini,$14.00,N;A,"For a natural look, groom & define brows with the long bristles to evenly coat each hair.For a feathered look, lift & smooth hairs upwards & outwards using the short bristles.For a brow lamination effect, press hairs against skin to lock them in place using the flat edge.","-	Shapes & tames eyebrows
-	Flexible, flake-free formula
-	Custom-molded dual-sized wand
","https://www.benefitcosmetics.com/globalassets/pdps/brows/brow-gel/24-hour-brow-setter/24-hour-brow-setter-mini-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/24-hour-brow-setter-clear-brow-gel?product=SETMINBM73
"Precisely, My Brow Pencil Travel Size Mini",$14.00,1 - Cool light blonde;2 - Warm golden blonde;2.5 - Neutral blonde;2.75 - Warm auburn;3 - Warm light brown;3.5 - Warm auburn brown;3.75 - Warm medium brown;4 - Warm deep brown;4.5 - Neutral deep brown;5 - warm black-brown;6 - Cool soft black;Cool grey,"Oh my WOW…precise & defined eyebrows! This ultra-fine eyebrow pencil draws incredibly natural-looking, hair-like strokes that last 12 budge-proof hours.* A few strokes of the rich yet blendable color will transform brows from shapeless & undefined to filled & defined eyebrows. Comes in full size & mini Twist-up, non-sharpen tip Built-in spoolie-brush Waterproof** eyebrow pencil *Instrumental test on 23 panelists **Instrumental test on 22 panelists","-	Natural-looking, hair-like strokes
-	Twist-up, non-sharpen tip
-	Lasts 12 budge-proof hours*
","https://www.benefitcosmetics.com/globalassets/pdps/brows/brow-pencil/precisely-my-brow-eyebrow-pencil/precisely-my-brow-pencil-mini-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/precisely-my-brow-eyebrow-pencil?product=PRECM
The POREfessional: Super Setter Travel Size Mini,$15.00,N;A,"This multitasking, microfine mist locks on makeup for 16 hours*, instantly blurs pores and leaves skin feeling smooth, refreshed & hydrated. The water-based formula includes pore-blurring powders that softly scatter light** and visibly reduce shine for a natural-looking, soft-focus finish. The mess-free applicator mists on a smooth, even, featherlight cloud...no drops, spots or stickiness!  Alcohol-free Waterproof & smudge-proof*** Fade-proof Instant mattifying effect 93% said it perfects the look of makeup**** 95% said skin feels hydrated**** *Instrumental test on 20 women **Ingredient properties ***Instrumental test on 22 women ****Self-evaluation by 110 women after 1 week","-	Locks on makeup for 16 hours*
-	Instantly blurs pores
-	Feels weightless & absorbs instantly
","https://www.benefitcosmetics.com/globalassets/pdps/face/primer/the-porefessional-super-setter/the-porefessional-super-setter-mini-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/the-porefessional-super-setter2?product=PORESFM250
GALifornia Powder Blush Travel Size Mini,$17.00,N;A,"GALifornia golden pink blush is part sun, pure fun! It blends bright pink with shimmering gold, capturing the warm glow of California sunshine in a box. The signature Galifornia Dreamin’ scent features notes of pink grapefruit & vanilla. Comes complete with a custom rounded blush brush for soft, diffused application. Comes in full size & mini Golden pink powder blush Artwork inspired by vintage California surfer girls Includes rounded blush brush and mirror","-	Bright pink with shimmering gold
-	Notes of pink grapefruit & vanilla
-	Custom rounded brush
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/blush/galifornia-powder-blush/galifornia-mini-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/galifornia-powder-blush?product=GALIFFM73
The POREfessional: Lite Primer Travel Size Mini,$13.00,N;A,"Smooth & LITESmooth all over face with fingertips. Use alone or under makeup daily. For touch-ups, pat on lightly and blend over makeup. Beauty Tip The POREfessional: Lite Primer is perfect for blurring pores on “no-makeup” makeup days!","-	Instantly blur & refine the look of pores for 12 hours*
-	Help makeup apply evenly & stay put for 12 hours*
-	Feels weightless & breathable with a refreshing, cooling sensation
","https://www.benefitcosmetics.com/globalassets/pdps/face/primer/the-porefessional-lite-primer/the-porefessional-lite-mini-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/the-porefessional-lite-primer?product=PORELFM294-MINI
The POREfessional Face Primer Travel Size Mini,$13.00,N;A,"Smoooth moves!It’s Benefit’s iconic, #1 face primer...The POREfessional! This Benefit bestseller is known & loved for its smoothing superpowers. Instantly minimize the look of pores & fine lines and blur imperfections for silky-soft, smoother-than-smooth skin. Plus, help makeup apply evenly & stay put. Silky-smooth  Lightweight  Translucent  Non-comedogenic  Contains Vitamin E derivative 91% said it minimizes pore appearance*   97% said skin looks smooth* 93% said it helps makeup stay put* *self-evaluation by 100 participants over 1 week","-	Minimize the look of pores & fine lines
-	Help makeup apply evenly & stay put
-	Get silky-soft, smoother-than-smooth skin
","https://www.benefitcosmetics.com/globalassets/pdps/face/primer/the-porefessional-face-primer/the-porefessional-mini-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/the-porefessional-face-primer?product=POREFFM04
The POREfessional: Pearl Primer Travel Size Mini,$13.00,N;A,"The power of The POREfessional…PLUS brightening! This soft-radiance face primer instantly minimizes the look of pores, locks on makeup and helps skin look bright, boosted and awake. It’s the same lightweight, silky smooth texture as the original The POREfessional: Pore Primer PLUS a hint of soft pearly pink. Pores and dullness don’t stand a chance!  Soft matte finish 90% said complexion looked brighter* 91% said it minimized the look of pores*   96% said it created soft-matte radiance* *self-evaluation by 100 women after 1 week","-	Non-comedogenic
-	Soft matte finish
-	Silky lightweight balm
","https://www.benefitcosmetics.com/globalassets/pdps/face/primer/the-porefessional-pearl-primer/carousel-images/the-porefessional-pearl-primer-mini-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/the-porefessional-pearl-primer?product=POREPMINIFM88
They're Real! Lengthening Mascara Travel Size Mini,$14.00,N;A,"They're real! lengthens, curls, volumizes, lifts and separates. Our jet black, long-wearing formula won't smudge or dry out. A specially designed brush reveals lashes you never knew you had! Comes in full size & mini 94% saw dramatic length & volume* 94% saw visible lift* 100% saw long-wearing results* *Results observed in a consumer panel survey","-	Lengthen, curls, volumizes, lifts
-	Long-wearing formula
-	Custom domed-tip brush
","https://www.benefitcosmetics.com/globalassets/pdps/eyes/mascara/theyre-real-lengthening-mascara/carousel-images/mini/theyre-real-lengthening-mascara-mini-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/theyre-real-lengthening-mascara?product=THEYMIB222
Roller Lash Curling Mascara Travel Size Mini,$14.00,N;A,"It’s a roller for lashes! The eye-opening Hook ‘n’ Roll™ brush grabs, separates, lifts and curls…while the instant curve-setting formula holds for 12 hours. Contains provitamin B5 and serin, ingredients known for their lash-conditioning benefits. Available in two stunning shades, original ink black or brown.  Comes in full size & mini Satin finish Water-resistant & easy to remove 87% said it gives long-lasting curl* * Consumer panel survey on 31 women after 4 weeks","-	Hook ‘n' Roll™ brush
-	Grabs, separates, lifts, curls
-	Curve-setting formula holds for 12 hours
","https://www.benefitcosmetics.com/globalassets/pdps/eyes/mascara/roller-lash-curling-mascara/roller-lash-mini-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/roller-lash-curling-mascara?product=ROLLEEM02
BADgal BANG! Volumizing Mascara Travel Size Mini,$14.00,N;A,"BADgal BANG! 36 HOUR* FULL-BLAST volumizing mascara creates MASSIVE volume without weighing down lashes. The gravity-defying formula contains aero-particles, one of the lightest known materials, derived from space technology. This innovative intense pitch black mascara layers easily for bigger and BIGGER impact. Its custom big Slimpact! brush is streamlined to reach root-to-tip, corner-to-corner, upper and lower lashes for BIG VOLUME WITH 360° REACH!*instrumental test on 21 women Smudge-proof, water-resistant, volumizing mascara 90% saw dramatic volume** 94% said it instantly lifted lashes** 92% said it lengthened lashes** ProVitamin B5 known to fuel thickness & strength **self-evaluation by 102 women after 1 week","-	Contains aero-particles
-	Smudge-proof and water-resistant
-	Custom Slimpact! brush
","https://www.benefitcosmetics.com/globalassets/pdps/eyes/mascara/badgal-bang-volumizing-mascara/badgal-bang-mini-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/badgal-bang-volumizing-mascara?product=BADGALEM44
